State name,Latitude,Longitude,District code,District name,Population,Households_with_Internet,sex_ratio,literacy_rate
UTTAR PRADESH,28.52024175035868,79.90103974175037,151,Pilibhit,2031007,2870,894.59,52.24
UTTAR PRADESH,27.991389350649328,79.8302275324675,152,Shahjahanpur,3006538,3889,871.6,49.59
UTTAR PRADESH,27.501995963091108,80.85288881199547,154,Sitapur,4483992,3874,887.79,50.93
UTTAR PRADESH,27.337409090909137,80.26411767676768,155,Hardoi,4092845,3845,867.65,54.28
UTTAR PRADESH,26.63163990895297,80.636773292868,156,Unnao,3108367,3476,906.87,57.06
UTTAR PRADESH,26.838233589251463,80.89706026871404,157,Lucknow,4589838,68506,916.84,68.13
UTTAR PRADESH,26.253902840059787,81.22260463378181,158,Rae Bareli,3405559,5184,943.21,57.72
UTTAR PRADESH,27.45063297872342,79.4406284574468,159,Farrukhabad,1885204,2624,873.51,57.96
UTTAR PRADESH,26.993988617886185,79.64437940379408,160,Kannauj,1656616,2488,878.73,61.4
UTTAR PRADESH,26.78817670157068,79.07621806282728,161,Etawah,1581810,2964,870.07,67.14
UTTAR PRADESH,26.66892394014961,79.42637057356607,162,Auraiya,1379545,2404,864.15,67.47
UTTAR PRADESH,26.43047641196011,79.98710083056478,163,Kanpur Dehat,1796184,2682,864.7,65.15
UTTAR PRADESH,26.067954587155988,79.36686911314993,165,Jalaun,1689974,2217,865.12,63.62
UTTAR PRADESH,25.45581535234902,78.89954580536917,166,Jhansi,1998603,8517,890.05,65.27
UTTAR PRADESH,24.58877161016945,78.60082330508473,167,Lalitpur,1221592,1079,905.73,52.49
UTTAR PRADESH,25.34529670138888,79.67863003472216,169,Mahoba,875958,1316,878.3,55.72
UTTAR PRADESH,25.351885902503284,80.52487391304344,170,Banda,1799410,1655,862.98,55.74
UTTAR PRADESH,25.159924623803,81.07666087551297,171,Chitrakoot,991730,827,879.27,53.55
UTTAR PRADESH,25.8374362030905,80.85416203090509,172,Fatehpur,2632733,3385,901.27,57.44
UTTAR PRADESH,25.53587532051282,81.41811282051287,174,Kaushambi,1599596,1503,907.72,50.85
UTTAR PRADESH,25.392038662316445,82.05172446982063,175,Allahabad,5954391,24122,901.26,61.56
UTTAR PRADESH,26.922777025232424,81.35762350597606,176,Bara Banki,3260699,3159,910.11,51.9
UTTAR PRADESH,26.60589185185181,82.00783530864202,177,Faizabad,2470996,4746,961.69,58.72
UTTAR PRADESH,26.39119025974028,82.68282142857147,178,Ambedkar Nagar,2397888,2509,977.79,62.01
UTTAR PRADESH,26.2846386419753,82.05710456790123,179,Sultanpur,3797117,5956,983.26,58.99
UTTAR PRADESH,27.691776300578027,81.46779783237004,180,Bahraich,3487731,2681,891.51,40.09
UTTAR PRADESH,27.449076537911324,82.47158326180256,182,Balrampur,2148665,1551,927.54,40.41
UTTAR PRADESH,27.157215552099505,82.0226888024882,183,Gonda,3433919,4313,921.45,48.92
UTTAR PRADESH,26.833880454545447,82.69790590909092,185,Basti,2464464,3423,963.29,56.56
UTTAR PRADESH,26.791596516393444,83.0387764344262,186,Sant Kabir Nagar,1715183,2031,972.25,55.68
UTTAR PRADESH,26.63315886792452,83.3549560377358,188,Gorakhpur,4440895,14597,949.66,60.81
UTTAR PRADESH,26.892530675909864,83.92261542461007,189,Kushinagar,3564544,3486,960.64,54.84
UTTAR PRADESH,26.42218856548857,83.8244070686071,190,Deoria,3100946,4469,1016.96,60.47
UTTAR PRADESH,26.008290954773837,83.01220251256285,191,Azamgarh,4613913,6652,1019.21,60.08
UTTAR PRADESH,26.01082203791469,83.50582654028433,192,Mau,2205968,2656,978.96,61.79
UTTAR PRADESH,25.86075638297873,84.03651978723408,193,Ballia,3239774,4672,936.62,60.61
UTTAR PRADESH,25.70141280913127,82.54315351934063,194,Jaunpur,4494204,8002,1023.99,60.78
UTTAR PRADESH,25.624724775583484,83.5360854578097,195,Ghazipur,3620268,5309,951.55,60.7
UTTAR PRADESH,25.1180859611231,83.25307062634984,196,Chandauli,1952756,3492,918.41,60.15
UTTAR PRADESH,25.36057088888889,82.82529666666672,197,Varanasi,3676841,19214,913.17,65.38
UTTAR PRADESH,25.10207959183675,82.60126628571429,199,Mirzapur,2496970,4447,902.74,57.22
UTTAR PRADESH,24.46693268858798,83.06816324951639,200,Sonbhadra,1862559,5149,917.51,52.92
UTTAR PRADESH,27.591155309734443,78.70021858407083,201,Etah,1774480,2635,873.12,59.47
BIHAR,27.16064352201258,84.30265911949685,203,Pashchim Champaran,3935042,3495,909.19,44.71
BIHAR,26.68129336734693,85.00382155612242,204,Purba Champaran,5099371,7719,901.89,44.65
BIHAR,26.458380748663107,85.29539411764709,205,Sheohar,656246,478,892.98,43.23
BIHAR,26.56570069686413,85.61172491289203,206,Sitamarhi,3423574,3460,898.56,41.97
BIHAR,26.41380538172716,86.16328360450552,207,Madhubani,4487379,5319,926.48,48.03
BIHAR,26.28157893772896,86.78496465201461,208,Supaul,2229076,1845,929.46,46.35
BIHAR,26.211528119180603,87.30766554934816,209,Araria,2811569,2561,921.35,42.53
BIHAR,26.324336758321294,87.95045007235886,210,Kishanganj,1690400,1093,949.78,44.08
BIHAR,25.81714801901739,87.40447606973065,211,Purnia,3264619,4170,921.08,40.81
BIHAR,25.56565356037151,87.70466083591326,212,Katihar,3071029,2941,918.88,41.69
BIHAR,25.77341929460581,86.8978443983403,213,Madhepura,2001762,1397,910.88,41.69
BIHAR,25.821270696721303,86.54670819672135,214,Saharsa,1900661,1668,906.05,42.35
BIHAR,26.146187719298258,85.97387352472099,215,Darbhanga,3937385,6280,911.4,46.14
BIHAR,26.18664417177915,85.32745092024543,216,Muzaffarpur,4801062,10290,899.53,52.26
BIHAR,26.44874364161851,84.34636127167629,217,Gopalganj,2562012,3707,1021.05,53.98
BIHAR,26.1736372013652,84.33766552901022,218,Siwan,3330464,3834,988.23,57.96
BIHAR,25.89656077844312,84.82266287425155,219,Saran,3951862,4509,953.64,54.59
BIHAR,25.8134703180212,85.39247597173153,220,Vaishali,3495021,4810,894.8,55.13
BIHAR,25.793205563909765,85.94833323308269,221,Samastipur,4261566,5379,911.01,50.28
BIHAR,25.54302613168723,86.12560144032932,222,Begusarai,2970541,4644,894.89,52.13
BIHAR,25.53558891454964,86.56593256351037,223,Khagaria,1666886,1580,886.07,46.08
BIHAR,25.277192885375477,87.04213814229242,224,Bhagalpur,3037766,6764,880.2,51.78
BIHAR,24.832355642023337,86.8664916342413,225,Banka,2034763,1704,906.74,47.44
BIHAR,25.198537962962963,86.54173672839504,226,Munger,1367765,2653,876.12,58.62
BIHAR,25.183449321266963,86.12825701357468,227,Lakhisarai,1000912,1186,901.63,50.68
BIHAR,25.12472436548223,85.77839390862943,228,Sheikhpura,636342,631,929.81,51.65
BIHAR,25.229345508982053,85.48053113772461,229,Nalanda,2877653,4156,922.2,52.82
BIHAR,25.40297114503818,85.3198433587787,230,Patna,5838465,40692,896.52,59.26
BIHAR,25.50666439393939,84.49407803030304,231,Bhojpur,2728407,3661,907.47,58.61
BIHAR,25.48593018867924,84.08808081760995,232,Buxar,1706352,1784,921.62,58.01
BIHAR,24.99170460829495,83.9350762672811,234,Rohtas,2959918,4594,917.61,60.81
BIHAR,24.774291867469877,84.45986024096379,235,Aurangabad,2540073,2362,926.22,57.71
BIHAR,20.0979228832952,75.32072196796334,235,Aurangabad,2540073,2362,926.22,57.71
MAHARASHTRA,24.774291867469877,84.45986024096379,515,Aurangabad,3701282,23258,923.27,67.65
MAHARASHTRA,20.0979228832952,75.32072196796334,515,Aurangabad,3701282,23258,923.27,67.65
BIHAR,24.7266541547278,84.94291217765044,236,Gaya,4391418,6856,937.48,52.32
BIHAR,24.825708836206903,85.61594568965519,237,Nawada,2219146,1841,938.68,49.16
BIHAR,24.78418380462726,86.26316298200514,238,Jamui,1760405,1839,921.71,48.77
BIHAR,25.155679045643165,84.9208124481328,239,Jehanabad,1125313,1106,921.7,55.0
